mappingId,mappingVersion,jsonPath,xmlXPath,rdfSubjectType,rdfProperty,rdfConstruct,rdfMappingStatus,rdfMappingReason,datatype,cardinality,obligation,controlledVocabulary,unitRule,source,semanticMeaning,notes
dpp.dppId,1.0.0,dppId,/s4c:DigitalProductPassport/@dppId,s4c:DigitalProductPassport,,rdf:subject,subjectIdentifier,,xsd:anyURI,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Stable passport identifier,The JSON identifier becomes the RDF resource IRI; the complete value also remains in the reversible rdf:JSON snapshot.
dpp.schemaVersion,1.0.0,schemaVersion,/s4c:DigitalProductPassport/@schemaVersion,s4c:DigitalProductPassport,s4c:schemaVersion,,direct,,xsd:string,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Payload schema release,
dpp.recordVersion,1.0.0,recordVersion,/s4c:DigitalProductPassport/s4c:RecordVersion,s4c:DigitalProductPassport,s4c:recordVersion,,direct,,xsd:integer,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Monotonic record version,
dpp.status,1.0.0,status,/s4c:DigitalProductPassport/s4c:Status,s4c:DigitalProductPassport,s4c:passportStatus,,direct,,xsd:string,1,mandatory,passport-status,,spec/schemas/dpp-1.0.0.schema.json,Passport lifecycle status,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.supersededBy,1.0.0,supersededBy,/s4c:DigitalProductPassport/s4c:SupersededBy,s4c:DigitalProductPassport,s4c:supersededBy,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined superseded by field at supersededBy.,
dpp.createdAt,1.0.0,createdAt,/s4c:DigitalProductPassport/s4c:CreatedAt,s4c:DigitalProductPassport,s4c:createdAt,,direct,,xsd:dateTime,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Creation timestamp with offset,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.updatedAt,1.0.0,updatedAt,/s4c:DigitalProductPassport/s4c:UpdatedAt,s4c:DigitalProductPassport,s4c:updatedAt,,direct,,xsd:dateTime,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Last update timestamp with offset,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.responsibleOperatorId,1.0.0,responsibleOperatorId,/s4c:DigitalProductPassport/s4c:ResponsibleOperatorId,s4c:DigitalProductPassport,s4c:responsibleOperator,,direct,,xsd:anyURI,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Responsible operator organisation,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.registryIdentifier,1.0.0,registryIdentifier,/s4c:DigitalProductPassport/s4c:RegistryIdentifier,s4c:DigitalProductPassport,s4c:registryIdentifier,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined registry identifier field at registryIdentifier.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.accessPolicyVersion,1.0.0,accessPolicyVersion,/s4c:DigitalProductPassport/s4c:AccessPolicyVersion,s4c:DigitalProductPassport,,rdf:value/rdf:JSON,notApplicable,"transport-layer/interface-only: selects an access-control interface profile, not a product semantic fact",xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined access policy version field at accessPolicyVersion.,Preserved only in the canonical rdf:JSON transport snapshot; not counted as semantic RDF coverage.
dpp.identity,1.0.0,identity,/s4c:DigitalProductPassport/s4c:Identity,s4c:TextileEntity,s4c:describes,,direct,,object,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,Declared identity block,
dpp.identity.granularity,1.0.0,identity.granularity,/s4c:DigitalProductPassport/s4c:Identity/s4c:Granularity,s4c:TextileEntity,s4c:granularity,,direct,,xsd:string,1,mandatory,,,spec/schemas/dpp-1.0.0.schema.json,"Model, batch or item granularity",Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.modelId,1.0.0,identity.modelId,/s4c:DigitalProductPassport/s4c:Identity/s4c:ModelId,s4c:TextileEntity,s4c:modelIdentifier,,direct,,xsd:string,0..1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined model id field at identity.modelId.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.batchId,1.0.0,identity.batchId,/s4c:DigitalProductPassport/s4c:Identity/s4c:BatchId,s4c:TextileEntity,s4c:batchIdentifier,,direct,,xsd:string,0..1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Schema-defined batch id field at identity.batchId.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.itemId,1.0.0,identity.itemId,/s4c:DigitalProductPassport/s4c:Identity/s4c:ItemId,s4c:TextileEntity,s4c:itemIdentifier,,direct,,xsd:string,0..1,conditional,,,spec/schemas/dpp-1.0.0.schema.json,Physical item identifier,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.epc,1.0.0,identity.epc,/s4c:DigitalProductPassport/s4c:Identity/s4c:Epc,s4c:TextileEntity,s4c:epc,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Encoded carrier identifier,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.sampleId,1.0.0,identity.sampleId,/s4c:DigitalProductPassport/s4c:Identity/s4c:SampleId,s4c:TextileEntity,s4c:sampleIdentifier,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-1.0.0.schema.json,Source sample identifier,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
